M315;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M316;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M317;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M318;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M319;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M320;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M321;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M322;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M323;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M324;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M325;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M326;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M327;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M328;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M329;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M330;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M331;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M332;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
M333;0,34;0,22;0,69;1831,36;5996,93;14113,65;9395,01;0,55;15537,68;0,95;0,71;0,27;8295,21;0,46;0,19;0,11;10,62;6501,69;0,37;907,18;0,38;0,08;10977,72;0,01;7267,39;5056,9;0,59;0,02;711,86;0,45;8444,25;23,54;1376,56;0,95;6180,87;0,29;2294,7;19,31;26,67;12,47;0,14;2972,41;0,57;0,96;0,22;2383,34;0,55;15530,83;30,68;44,72;
